Alanine,A,Ala,C3H5NO     ,71.03711,71.0788
Cysteine,C,Cys,C3H5NOS     ,103.00919,103.1388
Aspartic acid,D,Asp,C4H5NO3     ,115.02694,115.0886
Glutamic acid,E,Glu,C5H7NO3     ,129.04259,129.1155
Phenylalanine,F,Phe,C9H9NO     ,147.06841,147.1766
Glycine,G,Gly,C2H3NO     ,57.02146,57.0519
Histidine,H,His,C6H7N3O     ,137.05891,137.1411
Isoleucine,I,Ile,C6H11NO     ,113.08406,113.1594
Lysine,K,Lys,C6H12N2O     ,128.09496,128.1741
Leucine,L,Leu,C6H11NO     ,113.08406,113.1594
Methionine,M,Met,C5H9NOS     ,131.04049,131.1986
Asparagine,N,Asn,C4H6N2O2     ,114.04293,114.1039
Pyrrolysine,O,Pyl,C12H21N3O3     ,255.15829,255.3172
Proline,P,Pro,C5H7NO     ,97.05276,97.1167
Glutamine,Q,Gln,C5H8N2O2     ,128.05858,128.1307
Arginine,R,Arg,C6H12N4O     ,156.10111,156.1875
Serine,S,Ser,C3H5NO2     ,87.03203,87.0782
Threonine,T,Thr,C4H7NO2     ,101.04768,101.1051
Selenocysteine,U,Sec,C3H5NOSe     ,150.95364,150.0388
Valine,V,Val,C5H9NO     ,99.06841,99.1326
Tryptophan,W,Trp,C11H10N2O     ,186.07931,186.2132
Tyrosine,Y,Tyr,C9H9NO2     ,163.06333,163.176
